HNodes, LRate, Epochs, Error, Diff, STime, ETime
5 , 0.001 , 3 , 0.48 , 0:00:21.360981 , 2018-03-04 11:58:23.940710 , 2018-03-04 11:58:45.301691
5 , 0.001 , 5 , 0.52 , 0:00:33.274143 , 2018-03-04 11:58:45.755643 , 2018-03-04 11:59:19.029786
5 , 0.001 , 8 , 0.52 , 0:00:53.118093 , 2018-03-04 11:59:19.403245 , 2018-03-04 12:00:12.521338
5 , 0.001 , 13 , 0.52 , 0:01:25.177053 , 2018-03-04 12:00:12.885646 , 2018-03-04 12:01:38.062699
5 , 0.01 , 3 , 0.76 , 0:00:19.576360 , 2018-03-04 12:01:38.442669 , 2018-03-04 12:01:58.019029
5 , 0.01 , 5 , 0.75 , 0:00:32.642607 , 2018-03-04 12:01:58.379646 , 2018-03-04 12:02:31.022253
5 , 0.01 , 8 , 0.72 , 0:00:52.731364 , 2018-03-04 12:02:31.396396 , 2018-03-04 12:03:24.127760
5 , 0.01 , 13 , 0.76 , 0:01:31.531769 , 2018-03-04 12:03:24.488818 , 2018-03-04 12:04:56.020587
5 , 0.1 , 3 , 0.77 , 0:00:22.109022 , 2018-03-04 12:04:56.480960 , 2018-03-04 12:05:18.589982
5 , 0.1 , 5 , 0.81 , 0:00:36.244335 , 2018-03-04 12:05:19.034421 , 2018-03-04 12:05:55.278756
5 , 0.1 , 8 , 0.83 , 0:00:58.678426 , 2018-03-04 12:05:55.717203 , 2018-03-04 12:06:54.395629
5 , 0.1 , 13 , 0.84 , 0:01:35.057110 , 2018-03-04 12:06:54.842203 , 2018-03-04 12:08:29.899313
10 , 0.001 , 3 , 0.75 , 0:00:23.361620 , 2018-03-04 12:08:30.345459 , 2018-03-04 12:08:53.707079
10 , 0.001 , 5 , 0.76 , 0:00:36.280409 , 2018-03-04 12:08:54.156107 , 2018-03-04 12:09:30.436516
10 , 0.001 , 8 , 0.88 , 0:00:55.174206 , 2018-03-04 12:09:30.812332 , 2018-03-04 12:10:25.986538
10 , 0.001 , 13 , 0.93 , 0:01:30.541198 , 2018-03-04 12:10:26.349210 , 2018-03-04 12:11:56.890408
10 , 0.01 , 3 , 0.91 , 0:00:25.537025 , 2018-03-04 12:11:57.281548 , 2018-03-04 12:12:22.818573
10 , 0.01 , 5 , 0.95 , 0:00:39.010305 , 2018-03-04 12:12:23.377779 , 2018-03-04 12:13:02.388084
10 , 0.01 , 8 , 0.94 , 0:00:58.376084 , 2018-03-04 12:13:02.953676 , 2018-03-04 12:14:01.329760
10 , 0.01 , 13 , 0.92 , 0:01:35.857907 , 2018-03-04 12:14:01.902576 , 2018-03-04 12:15:37.760483
10 , 0.1 , 3 , 0.91 , 0:00:23.068383 , 2018-03-04 12:15:38.552050 , 2018-03-04 12:16:01.620433
10 , 0.1 , 5 , 0.93 , 0:00:39.085402 , 2018-03-04 12:16:02.041612 , 2018-03-04 12:16:41.127014
10 , 0.1 , 8 , 0.92 , 0:00:59.488617 , 2018-03-04 12:16:41.689658 , 2018-03-04 12:17:41.178275
10 , 0.1 , 13 , 0.94 , 0:01:33.868316 , 2018-03-04 12:17:41.554597 , 2018-03-04 12:19:15.422913
20 , 0.001 , 3 , 0.89 , 0:00:24.843487 , 2018-03-04 12:19:15.821443 , 2018-03-04 12:19:40.664930
20 , 0.001 , 5 , 0.93 , 0:00:40.896859 , 2018-03-04 12:19:41.241905 , 2018-03-04 12:20:22.138764
20 , 0.001 , 8 , 0.94 , 0:01:07.365712 , 2018-03-04 12:20:22.580521 , 2018-03-04 12:21:29.946233
20 , 0.001 , 13 , 0.94 , 0:01:43.574434 , 2018-03-04 12:21:30.508055 , 2018-03-04 12:23:14.082489
20 , 0.01 , 3 , 0.93 , 0:00:23.964109 , 2018-03-04 12:23:14.465153 , 2018-03-04 12:23:38.429262
20 , 0.01 , 5 , 0.96 , 0:00:39.487569 , 2018-03-04 12:23:38.799556 , 2018-03-04 12:24:18.287125
20 , 0.01 , 8 , 0.95 , 0:01:02.393824 , 2018-03-04 12:24:18.656485 , 2018-03-04 12:25:21.050309
20 , 0.01 , 13 , 0.96 , 0:01:42.352026 , 2018-03-04 12:25:21.445212 , 2018-03-04 12:27:03.797238
20 , 0.1 , 3 , 0.94 , 0:00:23.322443 , 2018-03-04 12:27:04.223080 , 2018-03-04 12:27:27.545523
20 , 0.1 , 5 , 0.94 , 0:00:38.863039 , 2018-03-04 12:27:27.919428 , 2018-03-04 12:28:06.782467
20 , 0.1 , 8 , 0.95 , 0:01:06.797879 , 2018-03-04 12:28:07.153094 , 2018-03-04 12:29:13.950973
20 , 0.1 , 13 , 0.98 , 0:01:43.871473 , 2018-03-04 12:29:14.390958 , 2018-03-04 12:30:58.262431
50 , 0.001 , 3 , 0.9 , 0:00:31.653032 , 2018-03-04 12:30:58.686485 , 2018-03-04 12:31:30.339517
50 , 0.001 , 5 , 0.94 , 0:00:52.888191 , 2018-03-04 12:31:30.710413 , 2018-03-04 12:32:23.598604
50 , 0.001 , 8 , 0.95 , 0:01:23.892655 , 2018-03-04 12:32:23.961250 , 2018-03-04 12:33:47.853905
50 , 0.001 , 13 , 0.94 , 0:02:22.166992 , 2018-03-04 12:33:48.226847 , 2018-03-04 12:36:10.393839
50 , 0.01 , 3 , 0.96 , 0:00:34.509676 , 2018-03-04 12:36:10.859856 , 2018-03-04 12:36:45.369532
50 , 0.01 , 5 , 0.96 , 0:00:57.104188 , 2018-03-04 12:36:45.815067 , 2018-03-04 12:37:42.919255
50 , 0.01 , 8 , 0.97 , 0:01:32.103438 , 2018-03-04 12:37:43.297726 , 2018-03-04 12:39:15.401164
50 , 0.01 , 13 , 0.96 , 0:02:21.151631 , 2018-03-04 12:39:15.963811 , 2018-03-04 12:41:37.115442
50 , 0.1 , 3 , 0.98 , 0:00:33.215574 , 2018-03-04 12:41:37.699449 , 2018-03-04 12:42:10.915023
50 , 0.1 , 5 , 0.98 , 0:00:53.327511 , 2018-03-04 12:42:11.444253 , 2018-03-04 12:43:04.771764
50 , 0.1 , 8 , 0.98 , 0:01:26.899148 , 2018-03-04 12:43:05.153818 , 2018-03-04 12:44:32.052966
50 , 0.1 , 13 , 0.98 , 0:02:21.661058 , 2018-03-04 12:44:32.622938 , 2018-03-04 12:46:54.283996
100 , 0.001 , 3 , 0.93 , 0:01:00.524604 , 2018-03-04 12:46:54.820383 , 2018-03-04 12:47:55.344987
100 , 0.001 , 5 , 0.95 , 0:01:37.520408 , 2018-03-04 12:47:55.728574 , 2018-03-04 12:49:33.248982
100 , 0.001 , 8 , 0.95 , 0:02:35.765018 , 2018-03-04 12:49:33.680323 , 2018-03-04 12:52:09.445341
100 , 0.001 , 13 , 0.95 , 0:06:06.550669 , 2018-03-04 12:52:09.831843 , 2018-03-04 12:58:16.382512
100 , 0.01 , 3 , 0.97 , 0:01:03.009036 , 2018-03-04 12:58:16.865769 , 2018-03-04 12:59:19.874805
100 , 0.01 , 5 , 0.96 , 0:01:37.381333 , 2018-03-04 12:59:20.248052 , 2018-03-04 13:00:57.629385
100 , 0.01 , 8 , 0.98 , 0:02:35.983773 , 2018-03-04 13:00:58.003605 , 2018-03-04 13:03:33.987378
100 , 0.01 , 13 , 0.97 , 0:04:14.934187 , 2018-03-04 13:03:34.376076 , 2018-03-04 13:07:49.310263
100 , 0.1 , 3 , 0.97 , 0:00:58.721898 , 2018-03-04 13:07:49.686212 , 2018-03-04 13:08:48.408110
100 , 0.1 , 5 , 0.98 , 0:01:38.394450 , 2018-03-04 13:08:48.782805 , 2018-03-04 13:10:27.177255
100 , 0.1 , 8 , 0.98 , 0:02:36.335875 , 2018-03-04 13:10:27.536874 , 2018-03-04 13:13:03.872749
100 , 0.1 , 13 , 0.99 , 0:04:13.852831 , 2018-03-04 13:13:04.256859 , 2018-03-04 13:17:18.109690
------------------------------------------------------------------------------------------------------------------------------------------------
AWS Execution
5 , 0.001 , 3 , 0.3246 , 0:00:37.322064 , 2018-03-16 01:21:11.351526 , 2018-03-16 01:21:48.673590
5 , 0.001 , 5 , 0.4034 , 0:05:05.871675 , 2018-03-16 01:21:48.875370 , 2018-03-16 01:26:54.747045
5 , 0.001 , 8 , 0.485 , 0:16:18.201891 , 2018-03-16 01:26:56.997180 , 2018-03-16 01:43:15.199071
5 , 0.001 , 13 , 0.4467 , 0:26:40.971714 , 2018-03-16 01:43:17.614046 , 2018-03-16 02:09:58.585760
5 , 0.01 , 3 , 0.5649 , 0:06:14.174376 , 2018-03-16 02:10:00.913779 , 2018-03-16 02:16:15.088155
5 , 0.01 , 5 , 0.6678 , 0:10:12.372059 , 2018-03-16 02:16:17.416241 , 2018-03-16 02:26:29.788300
